Name,Web pages,Country,Domains,State Province
Universitas Islam Indonesia,['http://www.uii.ac.id/'],Indonesia,['uii.ac.id'],
Universitas Ibn Khaldun Bogor,['http://www.uika-bogor.ac.id/'],Indonesia,['uika-bogor.ac.id'],
Universitas Islam Jakarta,['http://www.uinjkt.ac.id/'],Indonesia,['uinjkt.ac.id'],
Universitas Islam Riau,['http://www.uir.ac.id/'],Indonesia,['uir.ac.id'],
Universitas Islam Sumatera Utara,['http://www.uisu.ac.id/'],Indonesia,['uisu.ac.id'],
Universitas Kristen Duta Wacana,['http://www.ukdw.ac.id/'],Indonesia,['ukdw.ac.id'],
Universitas Kristen Indonesia,['http://www.uki.ac.id/'],Indonesia,['uki.ac.id'],
Universitas Kristen Indonesia Tomohon,['http://www.ukit-tomohon.org/'],Indonesia,['ukit-tomohon.org'],
Universitas Kristen Krida Wacana,['http://www.ukrida.ac.id/'],Indonesia,['ukrida.ac.id'],
Universitas Kristen Satya Wacana,['http://www.uksw.edu/'],Indonesia,['uksw.edu'],
Universitas Muslim Indonesia,['http://www.umi.ac.id/'],Indonesia,['umi.ac.id'],
Universitas Methodist Indonesia,['http://www.umi-mdn.edu/'],Indonesia,['umi-mdn.edu'],
Universitas Muhammadiyah Jakarta,['http://www.umj.ac.id/'],Indonesia,['umj.ac.id'],
Universitas Muria Kudus,['http://www.umk.ac.id/'],Indonesia,['umk.ac.id'],
Universitas Muhammadiyah Malang,['http://www.umm.ac.id/'],Indonesia,['umm.ac.id'],
Universitas Muhammadiyah Magelang,['http://www.ummgl.ac.id/'],Indonesia,['ummgl.ac.id'],
Universitas Muhammadiyah Sidoarjo,['http://www.umsida.ac.id/'],Indonesia,['umsida.ac.id'],
Universitas Muhammadiyah Surakarta,['http://www.ums.ac.id/'],Indonesia,['ums.ac.id'],
Universitas Muhammadiyah Sumatra Utara,['http://www.umsu.ac.id/'],Indonesia,['umsu.ac.id'],
Universitas Muhammadiyah Yogyakarta,['http://www.umy.ac.id/'],Indonesia,['umy.ac.id'],
Universitas Advent Indonesia,['http://www.unai.edu/'],Indonesia,['unai.edu'],
